"","value"
"72","https://lopezobrador.org.mx/2020/02/23/discurso-del-presidente-de-mexico-andres-manuel-lopez-obrador-en-el-cvii-aniversario-luctuoso-de-francisco-i-madero-y-jose-maria-pino-suarez-e-inauguracion-de-la-sala-intendencia-de-la-traicion/"
"73","https://lopezobrador.org.mx/2020/02/22/version-estenografica-inauguracion-del-puente-sahuatenipa-en-tamazula-de-victoria-durango/"
"74","https://lopezobrador.org.mx/2020/02/21/presidente-anuncia-alianza-con-gobiernos-estatales-para-eliminar-violencia-contra-las-mujeres-y-feminicidios/"
"75","https://lopezobrador.org.mx/2020/02/21/version-estenografica-lviii-reunion-ordinaria-de-la-conago-en-la-paz-baja-california-sur/"
"76","https://lopezobrador.org.mx/2020/02/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-en-la-paz-baja-california-sur/"
"77","https://lopezobrador.org.mx/2020/02/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-261/"
"78","https://lopezobrador.org.mx/2020/02/19/palabras-del-presidente-de-la-republica-andres-manuel-lopez-obrador-en-el-107-aniversario-luctuoso-de-gustavo-a-madero-y-adolfo-basso/"
"79","https://lopezobrador.org.mx/2020/02/19/version-estenografica-dia-del-ejercito-mexicano-en-el-zocalo-de-la-ciudad-de-mexico/"
"80","https://lopezobrador.org.mx/2020/02/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-260/"
"81","https://lopezobrador.org.mx/2020/02/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-259/"
"82","https://lopezobrador.org.mx/2020/02/17/version-estenografica-10-congreso-nacional-ordinario-de-la-confederacion-autonoma-de-trabajadores-y-empleados-de-mexico/"
"83","https://lopezobrador.org.mx/2020/02/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-258/"
"84","https://lopezobrador.org.mx/2020/02/16/version-estenografica-inauguracion-de-instalaciones-de-la-guardia-nacional-en-romita-guanajuato/"
"85","https://lopezobrador.org.mx/2020/02/16/version-estenografica-inauguracion-de-instalaciones-de-la-guardia-nacional-en-penjamo-guanajuato/"
"86","https://lopezobrador.org.mx/2020/02/15/version-estenografica-inauguracion-de-instalaciones-de-la-guardia-nacional-en-lagos-de-moreno-jalisco/"
"87","https://lopezobrador.org.mx/2020/02/15/version-estenografica-inauguracion-de-instalaciones-de-la-guardia-nacional-en-tepatitlan-de-morelos-jalisco/"
"88","https://lopezobrador.org.mx/2020/02/14/version-estenografica-inauguracion-de-instalaciones-de-la-guardia-nacional-en-sahuayo-de-morelos-michoacan/"
"89","https://lopezobrador.org.mx/2020/02/14/version-estenografica-inauguracion-de-instalaciones-de-la-guardia-nacional-en-jiquilpan-de-juarez-michoacan/"
"90","https://lopezobrador.org.mx/2020/02/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-257/"
"91","https://lopezobrador.org.mx/2020/02/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-256/"
"92","https://lopezobrador.org.mx/2020/02/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-255/"
"93","https://lopezobrador.org.mx/2020/02/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-254/"
"94","https://lopezobrador.org.mx/2020/02/10/version-estenografica-dia-de-la-fuerza-aerea-mexicana-en-la-bam-santa-lucia-estado-de-mexico/"
"95","https://lopezobrador.org.mx/2020/02/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-253/"
"96","https://lopezobrador.org.mx/2020/02/09/version-estenografica-dialogo-con-pueblos-indigenas-en-milpa-alta-ciudad-de-mexico/"
"97","https://lopezobrador.org.mx/2020/02/09/version-estenografica-107-aniversario-de-la-marcha-de-la-lealtad-en-el-castillo-de-chapultepec/"
"98","https://lopezobrador.org.mx/2020/02/08/version-estenografica-dialogo-con-pueblos-indigenas-en-atlacomulco-estado-de-mexico/"
"99","https://lopezobrador.org.mx/2020/02/08/version-estenografica-dialogo-con-pueblos-indigenas-en-amealco-de-bonfil-queretaro/"
"100","https://lopezobrador.org.mx/2020/02/07/version-estenografica-dialogo-con-pueblos-indigenas-en-tierra-blanca-guanajuato/"
"101","https://lopezobrador.org.mx/2020/02/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-252/"
"102","https://lopezobrador.org.mx/2020/02/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-251/"
"103","https://lopezobrador.org.mx/2020/02/05/version-estenografica-103-aniversario-de-la-promulgacion-de-la-constitucion-de-1917-en-queretaro/"
"104","https://lopezobrador.org.mx/2020/02/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-250/"
"105","https://lopezobrador.org.mx/2020/02/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-249/"
"106","https://lopezobrador.org.mx/2020/02/03/presidente-cumple-entrega-de-instrumentos-a-bandas-de-musica-de-oaxaca/"
"107","https://lopezobrador.org.mx/2020/02/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-248/"
"108","https://lopezobrador.org.mx/2020/02/02/version-estenografica-programa-de-mejoramiento-urbano-en-solidaridad-quintana-roo/"
"109","https://lopezobrador.org.mx/2020/02/01/version-estenografica-programa-integral-de-energia-para-yucatan/"
"110","https://lopezobrador.org.mx/2020/02/01/version-estenografica-programas-integrales-de-bienestar-y-tren-maya-en-campeche-campeche/"
"111","https://lopezobrador.org.mx/2020/01/31/version-estenografica-abanderamiento-de-las-dragas-montebello-adr-18-y-morelos-adr-19-en-frontera-tabasco/"
"112","https://lopezobrador.org.mx/2020/01/31/inicia-construccion-de-gasoducto-cuxtal-i-llevara-desarrollo-a-la-peninsula-de-yucatan/"
"113","https://lopezobrador.org.mx/2020/01/31/version-estenografica-construccion-del-gasoducto-cuxtal-fase-i-en-reforma-chiapas/"
"114","https://lopezobrador.org.mx/2020/01/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-247/"
"115","https://lopezobrador.org.mx/2020/01/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-246/"
"116","https://lopezobrador.org.mx/2020/01/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-245/"
"117","https://lopezobrador.org.mx/2020/01/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-244/"
"118","https://lopezobrador.org.mx/2020/01/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-243/"
"119","https://lopezobrador.org.mx/2020/01/26/version-estenografica-jovenes-construyendo-el-futuro-y-programas-integrales-de-bienestar-en-monterrey-nuevo-leon/"
"120","https://lopezobrador.org.mx/2020/01/25/version-estenografica-jovenes-construyendo-el-futuro-en-planta-cementera-en-monterrey-nuevo-leon/"
"121","https://lopezobrador.org.mx/2020/01/24/version-estenografica-jovenes-construyendo-el-futuro-en-saltillo-coahuila/"
"122","https://lopezobrador.org.mx/2020/01/24/version-estenografica-jovenes-construyendo-el-futuro-en-ramos-arizpe-coahuila/"
"123","https://lopezobrador.org.mx/2020/01/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-242/"
"124","https://lopezobrador.org.mx/2020/01/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-241/"
"125","https://lopezobrador.org.mx/2020/01/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-240/"
"126","https://lopezobrador.org.mx/2020/01/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-239/"
"127","https://lopezobrador.org.mx/2020/01/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-238/"
"128","https://lopezobrador.org.mx/2020/01/19/version-estenografica-inauguracion-del-camino-rural-santo-domingo-xagacia-en-oaxaca/"
"129","https://lopezobrador.org.mx/2020/01/19/version-estenografica-inauguracion-del-camino-rural-santa-maria-tepantlali-y-dialogo-con-el-pueblo-mixe-en-oaxaca/"
"130","https://lopezobrador.org.mx/2020/01/18/version-estenografica-inauguracion-del-camino-rural-san-andres-nuxino-en-oaxaca/"
